factor,horizon,sample,quantile,mean_return,win_rate,sample_count,spread_qhigh_qlow,oriented_spread
lower_wick_to_body_ratio,1,in_sample,1,5.298675258168869e-05,49.41966684578184,18610,-8.015733598089087e-05,-8.015733598089087e-05
lower_wick_to_body_ratio,1,in_sample,2,-1.241766672525985e-05,49.69908651262762,18610,-8.015733598089087e-05,-8.015733598089087e-05
lower_wick_to_body_ratio,1,in_sample,3,-1.8521148578299543e-05,50.005373455131654,18610,-8.015733598089087e-05,-8.015733598089087e-05
lower_wick_to_body_ratio,1,in_sample,4,3.7034615107210994e-05,50.53468751679296,18609,-8.015733598089087e-05,-8.015733598089087e-05
lower_wick_to_body_ratio,1,in_sample,5,-2.717058339920217e-05,50.11016174969101,18609,-8.015733598089087e-05,-8.015733598089087e-05
lower_wick_to_body_ratio,1,out_of_sample,1,7.330333520674453e-08,49.50771626139122,21837,1.5187669637687955e-05,1.5187669637687955e-05
lower_wick_to_body_ratio,1,out_of_sample,2,5.5588702535562065e-06,50.402104091851704,19771,1.5187669637687955e-05,1.5187669637687955e-05
lower_wick_to_body_ratio,1,out_of_sample,3,2.1394871519214796e-05,50.72120802343926,17748,1.5187669637687955e-05,1.5187669637687955e-05
lower_wick_to_body_ratio,1,out_of_sample,4,3.84705082816612e-05,50.586923347810774,17038,1.5187669637687955e-05,1.5187669637687955e-05
lower_wick_to_body_ratio,1,out_of_sample,5,1.52609729728947e-05,50.32053202324606,16691,1.5187669637687955e-05,1.5187669637687955e-05
lower_wick_to_body_ratio,3,in_sample,1,9.205754936323802e-05,50.01074691026331,18610,-0.0001319502414582457,-0.0001319502414582457
lower_wick_to_body_ratio,3,in_sample,2,4.332424365739293e-05,50.537345513164965,18610,-0.0001319502414582457,-0.0001319502414582457
lower_wick_to_body_ratio,3,in_sample,3,-9.265106120219781e-06,50.05910800644815,18610,-0.0001319502414582457,-0.0001319502414582457
lower_wick_to_body_ratio,3,in_sample,4,4.6150802185727655e-06,50.835617174485456,18609,-0.0001319502414582457,-0.0001319502414582457
lower_wick_to_body_ratio,3,in_sample,5,-3.98926920950077e-05,50.80874845504864,18609,-0.0001319502414582457,-0.0001319502414582457
lower_wick_to_body_ratio,3,out_of_sample,1,5.531395194310296e-05,50.6388825280513,21835,-4.7263910365338165e-05,-4.7263910365338165e-05
lower_wick_to_body_ratio,3,out_of_sample,2,2.7739758368294794e-05,50.1340346972839,19771,-4.7263910365338165e-05,-4.7263910365338165e-05
lower_wick_to_body_ratio,3,out_of_sample,3,7.850077068523262e-05,51.3466306062655,17748,-4.7263910365338165e-05,-4.7263910365338165e-05
lower_wick_to_body_ratio,3,out_of_sample,4,5.411349529923524e-05,50.721915717807256,17038,-4.7263910365338165e-05,-4.7263910365338165e-05
lower_wick_to_body_ratio,3,out_of_sample,5,8.050041577764795e-06,50.26661074830747,16691,-4.7263910365338165e-05,-4.7263910365338165e-05
lower_wick_to_body_ratio,6,in_sample,1,0.00015849473647239212,49.892530897367,18610,-0.00026508604671810225,-0.00026508604671810225
lower_wick_to_body_ratio,6,in_sample,2,4.855791970630091e-05,50.58033315421816,18610,-0.00026508604671810225,-0.00026508604671810225
lower_wick_to_body_ratio,6,in_sample,3,3.964921037189285e-05,50.231058570660934,18610,-0.00026508604671810225,-0.00026508604671810225
lower_wick_to_body_ratio,6,in_sample,4,3.3150984591652484e-05,50.87323338169703,18609,-0.00026508604671810225,-0.00026508604671810225
lower_wick_to_body_ratio,6,in_sample,5,-0.00010659131024571013,49.85222204309743,18609,-0.00026508604671810225,-0.00026508604671810225
lower_wick_to_body_ratio,6,out_of_sample,1,0.00013580021393928406,50.77402216726207,21834,-0.00012687670280860647,-0.00012687670280860647
