factor,horizon,rank_ic,oriented_rank_ic,oos_rank_ic,oos_oriented_rank_ic
return_1m,1,0.04918350027369792,0.04918350027369792,0.032995956979731345,0.032995956979731345
return_3m,1,-0.017879835678675873,-0.017879835678675873,-0.01772455905509972,-0.01772455905509972
return_5m,1,-0.008506256532736546,-0.008506256532736546,-0.00877620667348077,-0.00877620667348077
return_10m,1,-0.011276845503064167,-0.011276845503064167,-0.010492148163159846,-0.010492148163159846
return_15m,1,-0.007970281595207712,-0.007970281595207712,-0.0028282095901561227,-0.0028282095901561227
log_return_1m,1,0.017846879831595514,0.017846879831595514,0.009321887419555395,0.009321887419555395
normalized_return_5m,1,-0.020541915505150082,-0.020541915505150082,-0.025610411309873064,-0.025610411309873064
ma_5_1m,1,0.005630221775086869,0.005630221775086869,0.009650479225884485,0.009650479225884485
ma_20_1m,1,-0.005828062009275003,-0.005828062009275003,-0.013837398554508084,-0.013837398554508084
ma_60_1m,1,0.00042840308841417556,0.00042840308841417556,0.004615646292334276,0.004615646292334276
price_ma_gap_20,1,0.008264492188303765,0.008264492188303765,-0.006392863713970614,-0.006392863713970614
ma_slope_20,1,0.0019868920231011404,0.0019868920231011404,-0.0006467650155995032,-0.0006467650155995032
ma_slope_60,1,0.0019128613280084688,0.0019128613280084688,0.0020423465840339458,0.0020423465840339458
ema_cross_5_20,1,0.0031423447516179897,0.0031423447516179897,-0.004770872059259695,-0.004770872059259695
trend_strength_ma,1,0.00736531286404526,0.00736531286404526,0.0048254808559029545,0.0048254808559029545
breakout_high_20,1,-0.0039043863479238275,-0.0039043863479238275,-0.00879983629506173,-0.00879983629506173
breakout_low_20,1,-0.0033421652359011283,0.0033421652359011283,-0.008606416089026507,0.008606416089026507
distance_to_high_20,1,0.002733046021991397,0.002733046021991397,0.0097338638524438,0.0097338638524438
distance_to_low_20,1,-0.012625738258158069,-0.012625738258158069,-0.004482506309877469,-0.004482506309877469
donchian_position_20,1,0.014905984066003077,0.014905984066003077,0.016030566755061426,0.016030566755061426
breakout_volume_confirm,1,-0.03532766869436428,-0.03532766869436428,-0.023634006736191204,-0.023634006736191204
