factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
sweep_pin_bar_long,3,2025-01,0.13792364797669182,0.07800756091061098,0.0006642463208365087,172,train
sweep_pin_bar_long,3,2025-02,-0.05470072448430551,-0.13420973503110073,-0.00030260013817882514,198,train
sweep_pin_bar_long,3,2025-03,-0.02332528342151219,0.03043126078151954,-0.0001009795004373726,200,train
sweep_pin_bar_long,3,2025-04,0.04185511104593492,0.06587923836676511,0.0001440775080175827,183,train
sweep_pin_bar_long,3,2025-05,-0.12870521288583536,-0.08638615201897246,-0.00042492888735070917,212,train
sweep_pin_bar_long,3,2025-06,0.07962707564665762,0.04802653839847193,0.00021082910293176662,222,train
sweep_pin_bar_long,3,2025-07,-0.0887823097267543,-0.09446251097842587,-0.0003258055906082018,236,train
sweep_pin_bar_long,3,2025-08,-0.03490491122916208,-0.044944440444476444,-3.2047228284913474e-05,171,train
sweep_pin_bar_long,3,2025-09,0.025098535251412195,0.007987683867055517,2.180669162645879e-05,195,train
sweep_pin_bar_long,3,2025-10,0.07262924334731138,-0.008619533396097449,0.0006895792527339514,265,train
sweep_pin_bar_long,3,2025-11,-0.030034255207541678,-0.042360512957774814,-0.0001422073376497109,221,mixed
sweep_pin_bar_long,3,2025-12,-0.056453150622072776,-0.05940070505287898,-0.00020922181238874072,185,test
sweep_pin_bar_long,3,2026-01,0.0705132111264457,0.07851834932236942,0.0002567379762586577,199,test
sweep_pin_bar_long,3,2026-02,0.059783492627575395,0.02098271021131964,0.00032078307764439574,201,test
sweep_pin_bar_long,3,2026-03,-0.07654333437387698,-0.08301630196035362,-0.0002500606950336416,265,test
sweep_pin_bar_long,3,2026-04,-0.1903244885580189,-0.2614577551398004,-0.00043891873522063654,82,test
sweep_pin_bar_long,6,2025-01,0.06859754831264639,-0.03039929437789931,0.0003994411929211678,172,train
sweep_pin_bar_long,6,2025-02,0.016986837637566532,-0.04451189959952044,-5.7279744693427236e-05,198,train
sweep_pin_bar_long,6,2025-03,-0.0072115951765023886,0.023196579914497868,-6.309347360641704e-05,200,train
sweep_pin_bar_long,6,2025-04,0.04399110499421324,0.06480031016738073,5.020333815292593e-05,183,train
sweep_pin_bar_long,6,2025-05,-0.09527946562494549,-0.05736196666721243,-0.0003993697375657512,212,train
sweep_pin_bar_long,6,2025-06,0.06977891534535965,0.03042932955884684,0.0001951958677832831,222,train
sweep_pin_bar_long,6,2025-07,-0.10408997874720805,-0.14462255348602893,-0.0004826917094795676,236,train
sweep_pin_bar_long,6,2025-08,-0.03193469399984788,-0.09213046295629636,-9.685910981646006e-05,171,train
sweep_pin_bar_long,6,2025-09,0.03317598482072838,0.05036100754393679,3.944165513311744e-05,195,train
sweep_pin_bar_long,6,2025-10,0.06940126369319811,-0.006811411031867835,0.0011990779087944687,265,train
sweep_pin_bar_long,6,2025-11,-0.033914701777588735,-0.037720001145120564,-0.00027870446025293495,221,mixed
sweep_pin_bar_long,6,2025-12,0.03245465972022744,0.006061180394981237,3.7255945169836774e-05,185,test
sweep_pin_bar_long,6,2026-01,-0.011797013958992655,0.0013415562661793817,-8.64931667209421e-05,199,test
sweep_pin_bar_long,6,2026-02,-0.018120123638884374,-0.04413329392640757,2.102767772797287e-05,201,test
sweep_pin_bar_long,6,2026-03,-0.015005001316234485,-0.02506480609757671,-0.00033245288198993254,265,test
sweep_pin_bar_long,6,2026-04,-0.225140057614081,-0.22377858316735777,-0.0005769594543023488,82,test
sweep_pin_bar_long,12,2025-01,0.061130911417004295,0.04966711711393014,0.00023406673322454359,172,train
sweep_pin_bar_long,12,2025-02,-0.0536461923452548,-0.1118366791657101,-0.0005179501823222121,198,train
sweep_pin_bar_long,12,2025-03,-0.02170860894663478,-0.056377409435235885,-0.0001344483411916597,200,train
sweep_pin_bar_long,12,2025-04,0.018977027876377943,0.0634668254055282,-0.00026274515515474365,183,train
sweep_pin_bar_long,12,2025-05,-0.07226951242462756,-0.09139627175554445,-0.0002765156958984911,212,train
sweep_pin_bar_long,12,2025-06,0.053591217979617196,0.02947291182585301,0.0002901666379716398,222,train
sweep_pin_bar_long,12,2025-07,-0.10707530893518195,-0.12233528768399031,-0.0007745865856021101,236,train
sweep_pin_bar_long,12,2025-08,-0.04062258914394245,-0.0363141094871241,1.982682453941027e-05,171,train
sweep_pin_bar_long,12,2025-09,0.027354182065066856,0.04936487353113713,1.0282284561531196e-05,195,train
sweep_pin_bar_long,12,2025-10,0.005408062610366933,-0.04948413056655361,0.00030544560117746436,265,train
sweep_pin_bar_long,12,2025-11,-0.05239471566410799,-0.03388551977429055,-0.0003031555982607925,221,mixed
sweep_pin_bar_long,12,2025-12,0.06690904439239921,0.036983055987263556,0.00040261566524868756,185,test
sweep_pin_bar_long,12,2026-01,-6.074621237073783e-05,0.018213796253997258,-0.00040677462930605143,199,test
sweep_pin_bar_long,12,2026-02,0.04256224447741353,0.021699423673710656,0.0005167737495912718,201,test
sweep_pin_bar_long,12,2026-03,0.06691270122906828,0.07315931337778409,0.00030761776063302536,265,test
sweep_pin_bar_long,12,2026-04,-0.16982605027234213,-0.1819418595792384,-0.0005014225858301424,82,test
sweep_pin_bar_long,24,2025-01,0.05258972573138776,-0.014857684606731236,0.000288539773961542,172,train
sweep_pin_bar_long,24,2025-02,-0.05592068248718243,-0.1212762783305854,-0.00039832397156384046,198,train
sweep_pin_bar_long,24,2025-03,0.004318601499100191,0.0004680117002925074,0.0003116980962811744,200,train
sweep_pin_bar_long,24,2025-04,-0.009112159497398107,-0.007235280756307129,-0.0005955495175221292,183,train
sweep_pin_bar_long,24,2025-05,-0.06340933149940055,-0.10601550823316003,-0.000503496096974564,211,train
sweep_pin_bar_long,24,2025-06,0.02380547183372218,-0.10277487275640798,8.060375076989282e-05,222,train
sweep_pin_bar_long,24,2025-07,-0.04998333913626131,-0.058385399858920585,-0.0005173288450641903,235,train
sweep_pin_bar_long,24,2025-08,-0.07572627247277203,-0.07317541459668322,-0.00033052726102073937,171,train
sweep_pin_bar_long,24,2025-09,-0.08115389073241741,-0.05393365715117518,-0.0003960972133859595,195,train
sweep_pin_bar_long,24,2025-10,0.05094012356729359,0.03141515882330182,0.00129239916087296,265,train
sweep_pin_bar_long,24,2025-11,-0.06188091021246051,-0.06741805380336842,-0.000457873267631736,221,mixed
sweep_pin_bar_long,24,2025-12,0.09850820948185965,0.07295401993859217,0.0004908022025573972,185,test
sweep_pin_bar_long,24,2026-01,-0.05485967131393992,-0.021716156540277143,-0.0008829668720919709,199,test
sweep_pin_bar_long,24,2026-02,-0.03881674445511196,-0.028983724593114834,-0.0006299869759225096,200,test
