factor,requires_ticks,side,group,orientation,best_horizon,best_rank_ic,oriented_rank_ic,ic_ir,ic_t_stat,avg_abs_rank_ic,sample_count
breakout_cum_delta_eff,False,Long/Short,Momentum & Trend Factors,0,6,-0.037015095416799516,0.037015095416799516,-1.6845128559677331,-4.456802097181788,0.02964817098738797,259199
friction_cover_ratio,False,Long/Short,Regime & Condition Filters,0,24,0.020305774728051805,0.020305774728051805,0.5326898113255648,1.4093647667053626,0.012767595056611986,259186
body_position_ratio,False,Long/Short,Mean-Reversion & Extreme Factors,0,3,0.015539797211265256,0.015539797211265256,2.1252636377304808,5.622919055883321,0.012136252513903947,259199
lower_wick_to_body_ratio,False,Long,Mean-Reversion & Extreme Factors,1,3,0.01336894373334803,0.01336894373334803,1.9134367570714546,5.062477808660979,0.011154227687487358,259199
upper_wick_to_body_ratio,False,Short,Mean-Reversion & Extreme Factors,-1,6,-0.005640087275677939,0.005640087275677939,-0.7402090257897931,-1.9584090004451884,0.004887203098303044,259199
volume_z_score,False,Long/Short,Volume & Liquidity Factors,0,12,0.0017656234016668957,0.0017656234016668957,0.37181071157832657,0.9837186776262159,0.0009904450831142125,259180
