factor,requires_ticks,side,group,orientation,directional,best_horizon,best_rank_ic,oriented_rank_ic,abs_rank_ic,ic_ir,ic_t_stat,raw_ic_ir,raw_ic_t_stat,oriented_ic_ir,oriented_ic_t_stat,avg_abs_rank_ic,sample_count,oos_best_horizon,oos_best_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_ir,oos_ic_t_stat,oos_raw_ic_ir,oos_raw_ic_t_stat,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_sample_count,rank_score
hh_hl_structure_15m,False,Long,Regime & Condition Filters,1,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67859,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34457,0.0
ll_lh_structure_15m,False,Short,Regime & Condition Filters,-1,True,1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67419,1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33993,-0.0
adx_15m,False,Long/Short,Regime & Condition Filters,0,False,6,0.006800190472148983,0.006800190472148983,0.006800190472148983,0.03857522264397301,0.21821441213867343,0.03857522264397301,0.21821441213867343,0.03857522264397301,0.21821441213867343,0.005290647665687785,186253,12,0.020579718365187114,0.020579718365187114,0.020579718365187114,0.40578181276765535,2.331039044269561,0.40578181276765535,2.331039044269561,0.40578181276765535,2.331039044269561,93139,-1000000000.0
chop_index_15m,False,Long/Short,Regime & Condition Filters,0,False,12,0.0019748499307743264,0.0019748499307743264,0.0019748499307743264,-0.12373173113989563,-0.6999323690957673,-0.12373173113989563,-0.6999323690957673,-0.12373173113989563,-0.6999323690957673,0.0018104945572543136,186266,12,0.0069127645523346755,0.0069127645523346755,0.0069127645523346755,0.24113619126941777,1.3852219570947468,0.24113619126941777,1.3852219570947468,0.24113619126941777,1.3852219570947468,93139,-1000000000.0
range_position_15m,False,Long/Short,Regime & Condition Filters,0,False,1,-0.03796314031377211,-0.03796314031377211,0.03796314031377211,-3.0258119525527944,-17.116577201963114,-3.0258119525527944,-17.116577201963114,-3.0258119525527944,-17.116577201963114,0.04014212854132005,186260,12,-0.02663341781589655,-0.02663341781589655,0.02663341781589655,-0.5239603690195824,-3.0099231641361746,-0.5239603690195824,-3.0099231641361746,-0.5239603690195824,-3.0099231641361746,93139,-1000000000.0
volume_zscore_15m_20,False,Long/Short,Regime & Condition Filters,0,False,1,0.003508813332927285,0.003508813332927285,0.003508813332927285,0.44358077671912216,2.509271801776697,0.44358077671912216,2.509271801776697,0.44358077671912216,2.509271801776697,0.0015778188951963287,186260,1,-0.00012890433345816182,-0.00012890433345816182,0.00012890433345816182,-0.031309959932037244,-0.1798620262901835,-0.031309959932037244,-0.1798620262901835,-0.031309959932037244,-0.1798620262901835,93139,-1000000000.0
volatility_zscore_15m_20,False,Long/Short,Regime & Condition Filters,0,False,3,0.00776651916738168,0.00776651916738168,0.00776651916738168,0.5085281834156735,2.8766698153415935,0.5085281834156735,2.8766698153415935,0.5085281834156735,2.8766698153415935,0.0052508386499657885,186256,12,0.006627127218760515,0.006627127218760515,0.006627127218760515,0.20161325982024741,1.1581800014101598,0.20161325982024741,1.1581800014101598,0.20161325982024741,1.1581800014101598,93139,-1000000000.0
session_asia_flag,False,Long/Short,Regime & Condition Filters,0,False,12,0.0009823767794007376,0.0009823767794007376,0.0009823767794007376,-0.1459096704807503,-0.8253897395010652,-0.1459096704807503,-0.8253897395010652,-0.1459096704807503,-0.8253897395010652,0.002722505929294472,186279,12,0.004082820809876294,0.004082820809876294,0.004082820809876294,0.16022819864112942,0.9204409248359073,0.16022819864112942,0.9204409248359073,0.16022819864112942,0.9204409248359073,93139,-1000000000.0
session_london_flag,False,Long/Short,Regime & Condition Filters,0,False,1,-0.00229599245895177,-0.00229599245895177,0.00229599245895177,-0.18329127525675126,-1.036852029331031,-0.18329127525675126,-1.036852029331031,-0.18329127525675126,-1.036852029331031,0.005699151649552614,186279,1,-0.0019188300563612545,-0.0019188300563612545,0.0019188300563612545,-0.13000083617493083,-0.7467979475092174,-0.13000083617493083,-0.7467979475092174,-0.13000083617493083,-0.7467979475092174,93139,-1000000000.0
session_us_flag,False,Long/Short,Regime & Condition Filters,0,False,12,0.009176531948111381,0.009176531948111381,0.009176531948111381,0.20886902607628416,1.181541637746963,0.20886902607628416,1.181541637746963,0.20886902607628416,1.181541637746963,0.00662981027479558,186279,3,0.011710911820298205,0.011710911820298205,0.011710911820298205,0.3107802331053027,1.785296518379103,0.3107802331053027,1.785296518379103,0.3107802331053027,1.785296518379103,93139,-1000000000.0
weekend_flag,False,Long/Short,Regime & Condition Filters,0,False,1,-0.002411364827537735,-0.002411364827537735,0.002411364827537735,-0.04525250465513702,-0.25598682325858557,-0.04525250465513702,-0.25598682325858557,-0.04525250465513702,-0.25598682325858557,0.005103370044749296,186279,1,-0.004083535727166495,-0.004083535727166495,0.004083535727166495,-0.3016520782917921,-1.7328592612055937,-0.3016520782917921,-1.7328592612055937,-0.3016520782917921,-1.7328592612055937,93139,-1000000000.0
