factor,horizon,ic,rank_ic,oriented_rank_ic,abs_rank_ic,ic_period_mean,ic_period_std,ic_ir,ic_t_stat,oriented_ic_period_mean,oriented_ic_period_std,oriented_ic_ir,oriented_ic_t_stat,ic_periods,sample_count,oos_ic,oos_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_period_mean,oos_ic_ir,oos_ic_t_stat,oos_oriented_ic_period_mean,oos_oriented_ic_period_std,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_ic_periods,oos_sample_count
sweep_pin_bar_long,3,-0.02797666571731363,-0.024467023515900535,-0.024467023515900535,0.024467023515900535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1091,-0.0043612025361529924,0.006794928921121959,0.006794928921121959,0.006794928921121959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,293
sweep_pin_bar_long,6,-0.0073119409993811875,0.012099918427703624,0.012099918427703624,0.012099918427703624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1090,0.04567973945379415,0.05728292532591138,0.05728292532591138,0.05728292532591138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,293
sweep_pin_bar_long,12,0.005729495138191366,0.0029550172868387146,0.0029550172868387146,0.0029550172868387146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1086,-0.002415851775802642,0.012773209853990851,0.012773209853990851,0.012773209853990851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,292
sweep_pin_bar_long,24,0.004383866978766896,-0.0028574541644567062,-0.0028574541644567062,0.0028574541644567062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1083,-0.0006003215779678597,-0.014469512878075862,-0.014469512878075862,0.014469512878075862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,291
sweep_pin_bar_short,3,-0.02477225581112677,-0.01983810999430095,0.01983810999430095,0.01983810999430095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,935,-0.041379102732916895,-0.04739354118886753,0.04739354118886753,0.04739354118886753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
sweep_pin_bar_short,6,-0.014309119065180105,-0.008267755167204304,0.008267755167204304,0.008267755167204304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,934,-0.061850042965523884,-0.026947589074905756,0.026947589074905756,0.026947589074905756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
sweep_pin_bar_short,12,0.007115567730515835,0.00447890458528989,-0.00447890458528989,0.00447890458528989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,931,0.07755411530561127,0.07317130894890767,-0.07317130894890767,0.07317130894890767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
sweep_pin_bar_short,24,-0.024520026412848214,-0.02963028215728,0.02963028215728,0.02963028215728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,925,0.05999357701956842,0.03905380822844448,-0.03905380822844448,0.03905380822844448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,218
