factor,horizon,sample,quantile,mean_return,win_rate,sample_count,spread_qhigh_qlow,oriented_spread
sweep_pin_bar_long,3,in_sample,1,-0.0003809455253915722,56.00000000000001,200,-0.00010119356213296379,-0.00010119356213296379
sweep_pin_bar_long,3,in_sample,2,0.0009186842309273019,57.49999999999999,200,-0.00010119356213296379,-0.00010119356213296379
sweep_pin_bar_long,3,in_sample,3,7.897402216831068e-05,53.266331658291456,199,-0.00010119356213296379,-0.00010119356213296379
sweep_pin_bar_long,3,in_sample,4,-0.000482139087524536,53.768844221105525,199,-0.00010119356213296379,-0.00010119356213296379
sweep_pin_bar_long,3,out_of_sample,1,-0.0006507945118204342,41.42857142857143,70,-0.00023578428122598787,-0.00023578428122598787
sweep_pin_bar_long,3,out_of_sample,2,0.0003833371530811074,50.0,76,-0.00023578428122598787,-0.00023578428122598787
sweep_pin_bar_long,3,out_of_sample,3,-0.000516266707703845,46.05263157894737,76,-0.00023578428122598787,-0.00023578428122598787
sweep_pin_bar_long,3,out_of_sample,4,-0.0008865787930464221,43.66197183098591,71,-0.00023578428122598787,-0.00023578428122598787
sweep_pin_bar_long,6,in_sample,1,-0.0001842183316937751,55.00000000000001,200,-0.0002356422996555461,-0.0002356422996555461
sweep_pin_bar_long,6,in_sample,2,0.0010577162228313781,55.27638190954774,199,-0.0002356422996555461,-0.0002356422996555461
sweep_pin_bar_long,6,in_sample,3,-0.0006397189114731554,53.266331658291456,199,-0.0002356422996555461,-0.0002356422996555461
sweep_pin_bar_long,6,in_sample,4,-0.0004198606313493212,52.76381909547738,199,-0.0002356422996555461,-0.0002356422996555461
sweep_pin_bar_long,6,out_of_sample,1,-0.0005801518829240722,52.85714285714286,70,0.00047887090276616727,0.00047887090276616727
sweep_pin_bar_long,6,out_of_sample,2,-0.00022530739999443,47.368421052631575,76,0.00047887090276616727,0.00047887090276616727
sweep_pin_bar_long,6,out_of_sample,3,-0.0003018232148590933,48.68421052631579,76,0.00047887090276616727,0.00047887090276616727
sweep_pin_bar_long,6,out_of_sample,4,-0.0001012809801579049,59.154929577464785,71,0.00047887090276616727,0.00047887090276616727
sweep_pin_bar_long,12,in_sample,1,-0.0013184491149208794,50.25125628140703,199,0.0007996896922324935,0.0007996896922324935
sweep_pin_bar_long,12,in_sample,2,0.0010827374887426584,61.30653266331658,199,0.0007996896922324935,0.0007996896922324935
sweep_pin_bar_long,12,in_sample,3,-0.0007070017901914785,53.03030303030303,198,0.0007996896922324935,0.0007996896922324935
