factor,requires_ticks,side,group,orientation,directional,best_horizon,best_rank_ic,oriented_rank_ic,abs_rank_ic,ic_ir,ic_t_stat,raw_ic_ir,raw_ic_t_stat,oriented_ic_ir,oriented_ic_t_stat,avg_abs_rank_ic,sample_count,oos_best_horizon,oos_best_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_ir,oos_ic_t_stat,oos_raw_ic_ir,oos_raw_ic_t_stat,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_sample_count,rank_score
ma_trend_alignment_crossover,False,Long,Price Action & Chart Patterns,1,True,1,0.06328502499264349,0.06328502499264349,0.06328502499264349,0.0,0.0,0.0,0.0,0.0,0.0,0.043174301000724925,821,12,0.12065364741170166,0.12065364741170166,0.12065364741170166,0.0,0.0,0.0,0.0,0.0,0.0,413,0.12065364741170166
sweep_pin_bar_short,False,Short,Price Action & Chart Patterns,-1,True,3,-0.02310226036793253,0.02310226036793253,0.02310226036793253,0.0,0.0,0.0,0.0,0.0,0.0,0.016060352977018414,980,3,-0.10267211597357218,0.10267211597357218,0.10267211597357218,0.0,0.0,0.0,0.0,0.0,0.0,429,0.10267211597357218
sweep_pin_bar_long,False,Long,Price Action & Chart Patterns,1,True,6,0.000184338464878685,0.000184338464878685,0.000184338464878685,0.0,0.0,0.0,0.0,0.0,0.0,0.010748167037512002,1132,12,-0.008290495104581358,-0.008290495104581358,0.008290495104581358,0.0,0.0,0.0,0.0,0.0,0.0,541,-0.008290495104581358
