factor,horizon,rank_ic,oriented_rank_ic,oos_rank_ic,oos_oriented_rank_ic
delta_eff_long,1,-0.02705348640781307,-0.02705348640781307,-0.020238093806624616,-0.020238093806624616
delta_eff_short,1,0.016838149366182432,-0.016838149366182432,0.020227227421578592,-0.020227227421578592
buy_trade_volume_1m,1,-0.006572316478325445,-0.006572316478325445,-0.010519124327431087,-0.010519124327431087
sell_trade_volume_1m,1,-0.01640881676302017,0.01640881676302017,0.006011677161905655,-0.006011677161905655
trade_volume_delta_1m,1,0.007915471334656731,0.007915471334656731,-0.009916841168433383,-0.009916841168433383
trade_volume_delta_ratio_1m,1,0.010959761591204795,0.010959761591204795,-0.020046777274881605,-0.020046777274881605
taker_buy_ratio_1m,1,0.008429368513932561,0.008429368513932561,0.01380578031684639,0.01380578031684639
