factor,horizon,ic,rank_ic,oriented_rank_ic,abs_rank_ic,ic_period_mean,ic_period_std,ic_ir,ic_t_stat,oriented_ic_period_mean,oriented_ic_period_std,oriented_ic_ir,oriented_ic_t_stat,ic_periods,sample_count,oos_ic,oos_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_period_mean,oos_ic_ir,oos_ic_t_stat,oos_oriented_ic_period_mean,oos_oriented_ic_period_std,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_ic_periods,oos_sample_count
realized_vol_5m,1,0.013977776928502206,0.005862016008158776,0.005862016008158776,0.005862016008158776,0.008798727614706861,0.01948344599227089,0.45160017474307823,2.554636367566884,0.008798727614706861,0.01948344599227089,0.45160017474307823,2.554636367566884,32,186275,0.012195061761872367,0.008059896476464148,0.008059896476464148,0.008059896476464148,0.005326365278497786,0.2236241665151738,1.2846230338262676,0.005326365278497786,0.023818379567381733,0.2236241665151738,1.2846230338262676,33,93139
realized_vol_5m,3,0.023290460309962815,0.015984600316814045,0.015984600316814045,0.015984600316814045,0.01775395070624762,0.02695662658347149,0.6586117387972237,3.7256706133806405,0.01775395070624762,0.02695662658347149,0.6586117387972237,3.7256706133806405,32,186273,0.022922144368159265,0.01520590508824375,0.01520590508824375,0.01520590508824375,0.011507673519920707,0.3405994946686373,1.9565951345031822,0.011507673519920707,0.033786525523522286,0.3405994946686373,1.9565951345031822,33,93137
realized_vol_5m,6,0.024796654916239304,0.018182162242584964,0.018182162242584964,0.018182162242584964,0.015448746242875866,0.032212520982328095,0.47958823996889605,2.712960773274621,0.015448746242875866,0.032212520982328095,0.47958823996889605,2.712960773274621,32,186270,0.028962766106030477,0.020646244509227793,0.020646244509227793,0.020646244509227793,0.017331959933724158,0.4095677499296248,2.352787597472351,0.017331959933724158,0.0423176872121945,0.4095677499296248,2.352787597472351,33,93134
realized_vol_5m,12,0.031208370754775075,0.020636336426533224,0.020636336426533224,0.020636336426533224,0.01647851371007078,0.03666458192132813,0.44943956392108964,2.5424141070570183,0.01647851371007078,0.03666458192132813,0.44943956392108964,2.5424141070570183,32,186264,0.031104957875467597,0.029291192216161496,0.029291192216161496,0.029291192216161496,0.026740328120010433,0.6047729414627802,3.4741560491640167,0.026740328120010433,0.04421548367447277,0.6047729414627802,3.4741560491640167,33,93128
realized_vol_15m,1,0.01315294030274454,0.004415372508214073,0.004415372508214073,0.004415372508214073,0.006532880719145458,0.01598127831597124,0.4087833645082497,2.312427912640285,0.006532880719145458,0.01598127831597124,0.4087833645082497,2.312427912640285,32,186265,0.011119527275625013,0.007920211044056063,0.007920211044056063,0.007920211044056063,0.006128432080382428,0.3257064096667939,1.8710408747098768,0.006128432080382428,0.01881581663269069,0.3257064096667939,1.8710408747098768,33,93139
realized_vol_15m,3,0.020592476869250288,0.015090226562374109,0.015090226562374109,0.015090226562374109,0.017023278242223973,0.02666177595509705,0.6384900342308052,3.611845063397066,0.017023278242223973,0.02666177595509705,0.6384900342308052,3.611845063397066,32,186263,0.018965757931660526,0.01599255739423994,0.01599255739423994,0.01599255739423994,0.012100562179631874,0.33256645978012706,1.9104488623443094,0.012100562179631874,0.03638539553156394,0.33256645978012706,1.9104488623443094,33,93137
realized_vol_15m,6,0.02328932039089593,0.01951451866200527,0.01951451866200527,0.01951451866200527,0.021215319966361106,0.03395752562347137,0.6247604787698996,3.5341789692444006,0.021215319966361106,0.03395752562347137,0.6247604787698996,3.5341789692444006,32,186260,0.02353149565508156,0.02067530466501452,0.02067530466501452,0.02067530466501452,0.016381410169402314,0.3397816403431038,1.951896919094413,0.016381410169402314,0.04821158127572972,0.3397816403431038,1.951896919094413,33,93134
realized_vol_15m,12,0.02306740385412789,0.021227281537228058,0.021227281537228058,0.021227281537228058,0.020242122252610004,0.04045942241829174,0.5003067528581061,2.830162380955112,0.020242122252610004,0.04045942241829174,0.5003067528581061,2.830162380955112,32,186254,0.028954823128618978,0.02822727976997758,0.02822727976997758,0.02822727976997758,0.022576607337608776,0.3103788255194484,1.7829906073553674,0.022576607337608776,0.0727388774019126,0.3103788255194484,1.7829906073553674,33,93128
realized_vol_1h,1,0.009448730342541525,0.0021748484414009944,0.0021748484414009944,0.0021748484414009944,0.0046455758623132875,0.01918181270500169,0.24218648851169036,1.3700136667069933,0.0046455758623132875,0.01918181270500169,0.24218648851169036,1.3700136667069933,32,186220,0.011090533124598172,0.005147559241115,0.005147559241115,0.005147559241115,0.0036121919333187247,0.1957032355523599,1.1242294967607198,0.0036121919333187247,0.018457497256616853,0.1957032355523599,1.1242294967607198,33,93139
realized_vol_1h,3,0.014990466619840638,0.010963529958357062,0.010963529958357062,0.010963529958357062,0.01188372867907025,0.02911138733677414,0.40821581402472235,2.309217362275742,0.01188372867907025,0.02911138733677414,0.40821581402472235,2.309217362275742,32,186218,0.018940206548350855,0.011986835771954252,0.011986835771954252,0.011986835771954252,0.010136892933166932,0.37033860238703104,2.1274333018436375,0.010136892933166932,0.027371958709757012,0.37033860238703104,2.1274333018436375,33,93137
