factor,requires_ticks,side,group,orientation,directional,best_horizon,best_rank_ic,oriented_rank_ic,abs_rank_ic,ic_ir,ic_t_stat,raw_ic_ir,raw_ic_t_stat,oriented_ic_ir,oriented_ic_t_stat,avg_abs_rank_ic,sample_count,oos_best_horizon,oos_best_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_ir,oos_ic_t_stat,oos_raw_ic_ir,oos_raw_ic_t_stat,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_sample_count,rank_score
realized_vol_5m,False,Long/Short,Volatility & Compression Factors,0,False,12,0.020636336426533224,0.020636336426533224,0.020636336426533224,0.44943956392108964,2.5424141070570183,0.44943956392108964,2.5424141070570183,0.44943956392108964,2.5424141070570183,0.015166278748522753,186275,12,0.029291192216161496,0.029291192216161496,0.029291192216161496,0.6047729414627802,3.4741560491640167,0.6047729414627802,3.4741560491640167,0.6047729414627802,3.4741560491640167,93139,-1000000000.0
realized_vol_15m,False,Long/Short,Volatility & Compression Factors,0,False,12,0.021227281537228058,0.021227281537228058,0.021227281537228058,0.5003067528581061,2.830162380955112,0.5003067528581061,2.830162380955112,0.5003067528581061,2.830162380955112,0.015061849817455376,186265,12,0.02822727976997758,0.02822727976997758,0.02822727976997758,0.3103788255194484,1.7829906073553674,0.3103788255194484,1.7829906073553674,0.3103788255194484,1.7829906073553674,93139,-1000000000.0
realized_vol_1h,False,Long/Short,Volatility & Compression Factors,0,False,12,0.015739639931377093,0.015739639931377093,0.015739639931377093,0.3438654116827114,1.9451965153307929,0.3438654116827114,1.9451965153307929,0.3438654116827114,1.9451965153307929,0.010957786851322066,186220,12,0.021141834707684378,0.021141834707684378,0.021141834707684378,0.3809085357652455,2.188152946304524,0.3809085357652455,2.188152946304524,0.3809085357652455,2.188152946304524,93139,-1000000000.0
atr_14_1m,False,Long/Short,Volatility & Compression Factors,0,False,12,0.01244354486280815,0.01244354486280815,0.01244354486280815,0.10266989219732776,0.5807886159713782,0.10266989219732776,0.5807886159713782,0.10266989219732776,0.5807886159713782,0.007838915735969128,186266,12,0.012353596498234304,0.012353596498234304,0.012353596498234304,0.3124028639979603,1.7946178231941827,0.3124028639979603,1.7946178231941827,0.3124028639979603,1.7946178231941827,93139,-1000000000.0
range_mean_20,False,Long/Short,Volatility & Compression Factors,0,False,12,0.013751246263000474,0.013751246263000474,0.013751246263000474,0.12695422227944958,0.7181615317925046,0.12695422227944958,0.7181615317925046,0.12695422227944958,0.7181615317925046,0.008501503888123887,186260,12,0.016288710952446116,0.016288710952446116,0.016288710952446116,0.3678314355624266,2.113030724954376,0.3678314355624266,2.113030724954376,0.3678314355624266,2.113030724954376,93139,-1000000000.0
bb_width_20,False,Long/Short,Volatility & Compression Factors,0,False,12,0.016471368301561793,0.016471368301561793,0.016471368301561793,0.37605576405765656,2.1272926469556586,0.37605576405765656,2.1272926469556586,0.37605576405765656,2.1272926469556586,0.011303858639541295,186260,12,0.019188294689018753,0.019188294689018753,0.019188294689018753,0.19955186428024185,1.1463381855913037,0.19955186428024185,1.1463381855913037,0.19955186428024185,1.1463381855913037,93139,-1000000000.0
bb_width_percentile_100,False,Long/Short,Volatility & Compression Factors,0,False,12,0.005874279361076833,0.005874279361076833,0.005874279361076833,0.12501538532257186,0.707193813713918,0.12501538532257186,0.707193813713918,0.12501538532257186,0.707193813713918,0.004544590464671568,186180,12,0.006808542686744644,0.006808542686744644,0.006808542686744644,-0.003020377461310775,-0.01735074754269124,-0.003020377461310775,-0.01735074754269124,-0.003020377461310775,-0.01735074754269124,93139,-1000000000.0
atr_percentile_100,False,Long/Short,Volatility & Compression Factors,0,False,12,0.010730559792419148,0.010730559792419148,0.010730559792419148,-0.12594946800579956,-0.7124777833099118,-0.12594946800579956,-0.7124777833099118,-0.12594946800579956,-0.7124777833099118,0.007288717332980023,186180,12,0.027032683275571567,0.027032683275571567,0.027032683275571567,0.2905736451826136,1.6692185081844368,0.2905736451826136,1.6692185081844368,0.2905736451826136,1.6692185081844368,93139,-1000000000.0
vol_compression_ratio,False,Long/Short,Volatility & Compression Factors,0,False,3,0.009211482201569086,0.009211482201569086,0.009211482201569086,0.4468078726433671,2.5275270130692813,0.4468078726433671,2.5275270130692813,0.4468078726433671,2.5275270130692813,0.00621231484939971,186260,12,0.0056628682373581676,0.0056628682373581676,0.0056628682373581676,0.1951801037657878,1.1212243334403609,0.1951801037657878,1.1212243334403609,0.1951801037657878,1.1212243334403609,93139,-1000000000.0
range_compression_count,False,Long/Short,Volatility & Compression Factors,0,False,12,-0.0037679273339553897,-0.0037679273339553897,0.0037679273339553897,-0.2351559951645114,-1.330243190539976,-0.2351559951645114,-1.330243190539976,-0.2351559951645114,-1.330243190539976,0.005562333645564962,186260,12,0.002884199358151855,0.002884199358151855,0.002884199358151855,0.09517710866221435,0.5467508632264476,0.09517710866221435,0.5467508632264476,0.09517710866221435,0.5467508632264476,93139,-1000000000.0
